,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA
0,2002-05-23,1.156429,1.242857,1.145714,1.196429,1.196429,104790000,,
1,2002-05-24,1.214286,1.225,1.197143,1.21,1.21,11104800,,
2,2002-05-28,1.213571,1.232143,1.157143,1.157143,1.157143,6609400,,
3,2002-05-29,1.164286,1.164286,1.085714,1.103571,1.103571,6757800,,
4,2002-05-30,1.107857,1.107857,1.071429,1.071429,1.071429,10154200,,
5,2002-05-31,1.078571,1.078571,1.071429,1.076429,1.076429,8464400,,
6,2002-06-03,1.08,1.149286,1.076429,1.128571,1.128571,3151400,,
7,2002-06-04,1.135714,1.14,1.110714,1.117857,1.117857,3105200,,
8,2002-06-05,1.110714,1.159286,1.107143,1.147143,1.147143,1531600,,
9,2002-06-06,1.15,1.232143,1.148571,1.182143,1.182143,2305800,,1.1390715
10,2002-06-07,1.177857,1.177857,1.103571,1.118571,1.118571,1369200,,1.1312856999999998
11,2002-06-10,1.135,1.175,1.134286,1.156429,1.156429,484400,,1.1259286000000002
12,2002-06-11,1.156429,1.188571,1.128571,1.153571,1.153571,1003800,,1.1255713999999999
13,2002-06-12,1.153571,1.182143,1.089286,1.092857,1.092857,1799000,,1.1245
14,2002-06-13,1.104286,1.122143,1.08,1.082857,1.082857,2567600,37.47326758005036,1.1256428
15,2002-06-14,1.082143,1.085714,0.98,0.986429,0.986429,4783800,27.66847622685528,1.1166428
16,2002-06-17,1.013571,1.059286,0.917857,0.922143,0.922143,4855200,23.29287431431802,1.096
17,2002-06-18,0.938571,0.939286,0.842143,0.910714,0.910714,10808000,22.60833613555486,1.0752856999999998
18,2002-06-19,0.911429,0.996429,0.892857,0.951429,0.951429,5482400,30.449909029437574,1.0557143
19,2002-06-20,0.971429,1.04,0.95,0.957143,0.957143,6111000,31.49891255157095,1.0332143
20,2002-06-21,0.982143,0.989286,0.947857,0.979286,0.979286,2346400,35.555369659978126,1.0192858
21,2002-06-24,0.979286,1.014286,0.957143,0.978571,0.978571,2567600,35.48230363257582,1.0014999999999998
22,2002-06-25,0.988571,1.007143,0.947143,0.964286,0.964286,3941000,33.979884578505555,0.9825715
23,2002-06-26,0.963571,0.996429,0.921429,0.988571,0.988571,2924600,38.72965021323411,0.9721428999999999
24,2002-06-27,1.009286,1.018571,0.942857,0.943571,0.943571,3817800,33.86740446278708,0.9582143000000001
25,2002-06-28,0.960714,1.013571,0.960714,0.999286,0.999286,9234400,43.35019307018494,0.9594999999999999
26,2002-07-01,1.0,1.046429,0.992857,1.027857,1.027857,4585000,47.50700027653599,0.9700713999999999
27,2002-07-02,1.053571,1.195,1.039286,1.172857,1.172857,9020200,62.53285767078031,0.9962857000000002
28,2002-07-03,1.178571,1.214286,1.117857,1.214286,1.214286,4957400,65.5657027538939,1.0225714
